,Rank,Team,League,Expenditures,Arrivals,Incomes,Departures,Net Balance,Year
1,1,Manchester City,Premier League,£192.15m,40,£31.82m,23,"-178,15 Mill. £",2016.0
2,2,Juventus FC,Serie A,£176.24m,125,£157.42m,85,"-20,92 Mill. £",2016.0
3,3,Manchester United,Premier League,£166.50m,11,£42.44m,14,"-137,85 Mill. £",2016.0
4,4,Inter Milan,Serie A,£142.14m,99,£16.65m,63,"-139,43 Mill. £",2016.0
5,5,Paris Saint-Germain,Ligue 1,£121.05m,21,£53.82m,15,"-74,70 Mill. £",2016.0
6,6,Chelsea FC,Premier League,£119.52m,41,£97.56m,30,"-24,40 Mill. £",2016.0
7,7,FC Barcelona,LaLiga,£112.28m,16,£30.42m,13,"-90,95 Mill. £",2016.0
8,8,Shanghai SIPG,Super League,£110.79m,20,£3.96m,17,"-118,70 Mill. £",2016.0
9,9,Borussia Dortmund,Bundesliga,£108.99m,15,£99.90m,8,"-10,10 Mill. £",2016.0
10,10,Arsenal FC,Premier League,£101.70m,13,£9.32m,12,"-102,65 Mill. £",2016.0
11,11,Crystal Palace,Premier League,£91.17m,24,£45.18m,25,"-51,10 Mill. £",2016.0
12,12,AS Roma,Serie A,£90.68m,89,£63.75m,67,"-29,92 Mill. £",2016.0
13,13,SSC Napoli,Serie A,£87.38m,59,£105.12m,40,"19,72 Mill. £",2016.0
14,14,Leicester City,Premier League,£82.44m,17,£59.45m,19,"-25,55 Mill. £",2016.0
15,15,Everton FC,Premier League,£77.31m,21,£54.72m,20,"-25,10 Mill. £",2016.0
16,16,Aston Villa,Championship,£77.04m,27,£41.31m,25,"-39,70 Mill. £",2016.0
17,17,Tottenham Hotspur,Premier League,£75.24m,11,£47.07m,9,"-31,30 Mill. £",2016.0
18,18,West Ham United,Premier League,£75.15m,20,£36.90m,18,"-42,50 Mill. £",2016.0
19,19,VfL Wolfsburg,Bundesliga,£72.95m,24,£85.01m,21,"13,40 Mill. £",2016.0
20,20,Liverpool FC,Premier League,£71.91m,20,£76.41m,18,"5,00 Mill. £",2016.0
21,21,Sevilla FC,LaLiga,£71.91m,19,£82.31m,23,"11,55 Mill. £",2016.0
22,22,Atlético Madrid,LaLiga,£71.10m,32,£37.80m,19,"-37,00 Mill. £",2016.0
23,23,RB Leipzig,Bundesliga,£70.61m,15,£90k,14,"-78,35 Mill. £",2016.0
24,24,Hebei China Fortune,Super League,£69.92m,19,-,15,"-77,69 Mill. £",2016.0
25,25,Tianjin Quanjian,Super League,£67.49m,12,£2.31m,14,"-72,43 Mill. £",2016.0
27,26,Bayern Munich,Bundesliga,£63.00m,8,£47.07m,9,"-17,70 Mill. £",2016.0
28,27,Watford FC,Premier League,£62.96m,38,£52.29m,35,"-11,85 Mill. £",2016.0
29,28,Southampton FC,Premier League,£62.01m,13,£76.55m,10,"16,15 Mill. £",2016.0
30,29,Newcastle United,Championship,£57.38m,30,£90.79m,27,"37,13 Mill. £",2016.0
31,30,Swansea City,Premier League,£52.38m,23,£43.74m,18,"-9,60 Mill. £",2016.0
32,31,Bayer 04 Leverkusen,Bundesliga,£51.39m,29,£21.33m,19,"-33,40 Mill. £",2016.0
33,32,Villarreal CF,LaLiga,£50.36m,29,£60.53m,26,"11,30 Mill. £",2016.0
34,33,AS Monaco,Ligue 1,£45.45m,34,£16.61m,29,"-32,05 Mill. £",2016.0
35,34,Olympique Marseille,Ligue 1,£45.00m,31,£74.61m,31,"32,90 Mill. £",2016.0
36,35,Middlesbrough FC,Premier League,£43.16m,21,£12.15m,21,"-34,45 Mill. £",2016.0
37,36,Burnley FC,Premier League,£41.04m,24,£1.08m,24,"-44,40 Mill. £",2016.0
38,37,Hamburger SV,Bundesliga,£39.56m,22,£5.09m,18,"-38,30 Mill. £",2016.0
39,38,SL Benfica,Liga NOS,£39.39m,48,£109.22m,39,"77,58 Mill. £",2016.0
40,39,FC Schalke 04,Bundesliga,£38.97m,23,£53.82m,19,"16,50 Mill. £",2016.0
41,40,UC Sampdoria,Serie A,£38.70m,76,£72.63m,56,"37,70 Mill. £",2016.0
42,41,Sunderland AFC,Premier League,£37.71m,25,£21.39m,23,"-18,13 Mill. £",2016.0
43,42,AFC Bournemouth,Premier League,£36.62m,20,£22.94m,26,"-15,20 Mill. £",2016.0
44,43,FC Porto,Liga NOS,£36.39m,55,£13.55m,38,"-25,38 Mill. £",2016.0
45,44,Hull City,Premier League,£36.00m,25,£26.01m,20,"-11,10 Mill. £",2016.0
46,45,Rubin Kazan,Premier Liga,£35.69m,37,£6.57m,26,"-32,35 Mill. £",2016.0
47,46,Stoke City,Premier League,£34.69m,16,£3.42m,14,"-34,75 Mill. £",2016.0
48,47,Borussia Mönchengladbach,Bundesliga,£34.43m,15,£40.59m,11,"6,85 Mill. £",2016.0
49,48,West Bromwich Albion,Premier League,£34.11m,12,£24.28m,13,"-10,93 Mill. £",2016.0
50,49,Beijing Sinobo Guoan,Super League,£33.19m,14,£18.75m,12,"-16,04 Mill. £",2016.0
51,50,Wolverhampton Wanderers,Championship,£32.49m,30,£2.69m,26,"-33,11 Mill. £",2016.0
53,51,Valencia CF,LaLiga,£32.40m,23,£103.41m,24,"78,90 Mill. £",2016.0
54,52,Ajax Amsterdam,Eredivisie,£31.95m,21,£72.45m,19,"45,00 Mill. £",2016.0
55,53,Shanghai Greenland Shenhua,Super League,£31.86m,19,£3.86m,17,"-31,11 Mill. £",2016.0
56,54,Sporting CP,Liga NOS,£31.32m,41,£73.76m,33,"47,16 Mill. £",2016.0
57,55,SS Lazio,Serie A,£29.57m,46,£25.20m,36,"-4,85 Mill. £",2016.0
58,56,Jiangsu Suning,Super League,£29.00m,17,£11.77m,16,"-19,15 Mill. £",2016.0
59,57,Bologna FC 1909,Serie A,£28.44m,51,£15.28m,46,"-14,62 Mill. £",2016.0
60,58,Changchun Yatai,Super League,£28.17m,16,£866k,14,"-30,34 Mill. £",2016.0
61,59,Real Madrid,LaLiga,£27.00m,19,£33.75m,12,"7,50 Mill. £",2016.0
62,60,1.FSV Mainz 05,Bundesliga,£26.28m,21,£23.13m,18,"-3,51 Mill. £",2016.0
63,61,RSC Anderlecht,Jupiler Pro League,£26.19m,42,£26.91m,34,800 Th. £,2016.0
64,62,Shandong Luneng Taishan,Super League,£26.09m,17,£31.04m,16,"5,50 Mill. £",2016.0
65,63,Torino FC,Serie A,£25.92m,70,£23.65m,53,"-2,53 Mill. £",2016.0
66,64,Olympique Lyon,Ligue 1,£25.74m,17,£24.57m,13,"-1,30 Mill. £",2016.0
67,65,AC Milan,Serie A,£25.20m,53,£18.41m,34,"-7,55 Mill. £",2016.0
68,66,Tianjin Teda,Super League,£25.00m,20,£617k,19,"-27,09 Mill. £",2016.0
69,67,Shenzhen FC,League One,£24.51m,16,-,14,"-27,23 Mill. £",2016.0
70,68,Sociedade Esportiva Palmeiras,Série A,£24.30m,63,£31.34m,64,"7,82 Mill. £",2016.0
71,69,Norwich City,Championship,£23.81m,16,£33.03m,17,"10,25 Mill. £",2016.0
72,70,Deportivo Guadalajara,Liga MX Clausura,£23.49m,32,-,28,"-26,10 Mill. £",2016.0
73,71,Genoa CFC,Serie A,£23.40m,81,£45.27m,60,"24,30 Mill. £",2016.0
74,72,Fulham FC,Championship,£23.00m,31,£21.40m,34,"-1,77 Mill. £",2016.0
75,73,Spartak Moscow,Premier Liga,£22.82m,15,£2.70m,12,"-22,35 Mill. £",2016.0
76,74,TSG 1899 Hoffenheim,Bundesliga,£21.99m,30,£33.30m,26,"12,56 Mill. £",2016.0
77,75,Tigres UANL,Liga MX Clausura,£21.47m,46,£9.36m,34,"-13,46 Mill. £",2016.0
79,76,SV Werder Bremen,Bundesliga,£21.33m,24,£24.48m,21,"3,50 Mill. £",2016.0
80,77,Zenit St. Petersburg,Premier Liga,£20.61m,17,£94.05m,9,"81,60 Mill. £",2016.0
81,78,Galatasaray SK,Süper Lig,£20.25m,34,£9.00m,27,"-12,51 Mill. £",2016.0
82,79,FC Augsburg,Bundesliga,£19.98m,18,£13.55m,18,"-7,15 Mill. £",2016.0
83,80,US Sassuolo,Serie A,£19.62m,38,£26.82m,26,"8,00 Mill. £",2016.0
84,81,Real Betis Balompié,LaLiga,£18.81m,25,£7.20m,26,"-12,90 Mill. £",2016.0
85,82,LOSC Lille,Ligue 1,£18.63m,27,£42.30m,31,"26,30 Mill. £",2016.0
86,83,Guangzhou Evergrande Taobao,Super League,£18.05m,21,£3.70m,18,"-15,94 Mill. £",2016.0
87,84,VfB Stuttgart,2.Bundesliga,£17.69m,23,£40.82m,24,"25,70 Mill. £",2016.0
88,85,Udinese Calcio,Serie A,£17.10m,77,£27.19m,65,"11,22 Mill. £",2016.0
89,86,RCD Espanyol Barcelona,LaLiga,£16.56m,27,£5.40m,26,"-12,40 Mill. £",2016.0
90,87,Real Sociedad,LaLiga,£16.20m,18,£9.90m,12,"-7,00 Mill. £",2016.0
91,88,São Paulo Futebol Clube,Série A,£16.17m,37,£30.77m,35,"16,23 Mill. £",2016.0
92,89,CF América,Liga MX Clausura,£15.77m,30,£5.76m,20,"-11,12 Mill. £",2016.0
93,90,CD Cruz Azul,Liga MX Clausura,£15.75m,34,-,25,"-17,50 Mill. £",2016.0
94,91,Derby County,Championship,£15.54m,16,£14.63m,20,"-1,01 Mill. £",2016.0
95,92,KAA Gent,Jupiler Pro League,£15.38m,45,£22.10m,29,"7,46 Mill. £",2016.0
96,93,Atlanta United FC,MLS,£15.04m,40,-,17,"-16,72 Mill. £",2016.0
97,94,Sport Club Internacional,Série B,£14.48m,58,£7.70m,52,"-7,54 Mill. £",2016.0
98,95,Henan Jianye,Super League,£14.32m,24,£8.39m,17,"-6,59 Mill. £",2016.0
99,96,Club Atlético River Plate,Primera División,£14.20m,20,£20.79m,17,"7,33 Mill. £",2016.0
100,97,ACF Fiorentina,Serie A,£14.07m,63,£27.90m,51,"15,37 Mill. £",2016.0
101,98,Trabzonspor,Süper Lig,£14.00m,53,£5.28m,45,"-9,69 Mill. £",2016.0
102,99,OGC Nice,Ligue 1,£13.73m,25,£14.22m,22,550 Th. £,2016.0
103,100,Besiktas JK,Süper Lig,£13.59m,28,£12.65m,26,"-1,04 Mill. £",2016.0
105,101,FC Basel 1893,Super League,£13.55m,21,£25.81m,16,"13,63 Mill. £",2016.0
106,102,Club Atlético Boca Juniors,Primera División,£13.28m,29,£21.95m,27,"9,64 Mill. £",2016.0
107,103,Delfino Pescara 1936,Serie A,£12.86m,93,£19.44m,72,"7,31 Mill. £",2016.0
108,104,KRC Genk,Jupiler Pro League,£12.60m,28,£38.25m,23,"28,50 Mill. £",2016.0
