,Rank,Team,League,Expenditures,Arrivals,Incomes,Departures,Net Balance,Year
1,1,Real Madrid,LaLiga,£107.33m,17,£57.11m,13,"-55,80 Mill. £",2000.0
2,2,SS Lazio,Serie A,£97.84m,23,£20.34m,16,"-86,11 Mill. £",2000.0
3,3,AS Roma,Serie A,£93.06m,21,£3.02m,17,"-100,04 Mill. £",2000.0
4,4,FC Barcelona,LaLiga,£87.39m,13,£67.32m,12,"-22,30 Mill. £",2000.0
5,5,AC Parma,Serie A,£58.86m,20,£65.45m,22,"7,33 Mill. £",2000.0
6,6,FC Internazionale,Serie A,£58.01m,42,£25.88m,32,"-35,70 Mill. £",2000.0
7,7,Deportivo de La Coruña,LaLiga,£51.62m,23,£35.55m,16,"-17,85 Mill. £",2000.0
8,8,Arsenal FC,Premier League,£50.67m,26,£54.65m,22,"4,43 Mill. £",2000.0
9,9,Paris Saint-Germain,Ligue 1,£48.56m,15,£527k,13,"-53,37 Mill. £",2000.0
10,10,Leeds United,Premier League,£47.84m,10,£10.92m,10,"-41,02 Mill. £",2000.0
11,11,Milan AC,Serie A,£47.70m,28,£7.70m,19,"-44,45 Mill. £",2000.0
12,12,Chelsea FC,Premier League,£47.15m,22,£34.83m,20,"-13,69 Mill. £",2000.0
13,13,Valencia CF,LaLiga,£45.95m,18,£55.13m,16,"10,20 Mill. £",2000.0
14,14,Rangers FC,Scotland,£40.88m,22,£5.85m,12,"-38,93 Mill. £",2000.0
15,15,Stade Rennais FC,Ligue 1,£31.85m,21,£18.00m,12,"-15,39 Mill. £",2000.0
16,16,AS Monaco,Ligue 1,£31.14m,17,£45.44m,14,"15,89 Mill. £",2000.0
17,17,Everton FC,Premier League,£31.03m,19,£32.00m,17,"1,07 Mill. £",2000.0
18,18,Liverpool FC,Premier League,£30.60m,19,£16.15m,16,"-16,06 Mill. £",2000.0
19,19,Middlesbrough FC,Premier League,£29.52m,22,£9.00m,16,"-22,80 Mill. £",2000.0
20,20,Celtic FC,Scotland,£28.10m,18,£9.59m,11,"-20,58 Mill. £",2000.0
21,21,Olympique Lyon,Ligue 1,£25.20m,19,-,11,"-28,00 Mill. £",2000.0
22,22,Borussia Dortmund,Bundesliga,£24.82m,9,£2.07m,7,"-25,28 Mill. £",2000.0
23,23,Galatasaray SK,Süper Lig,£24.80m,19,£5.85m,16,"-21,05 Mill. £",2000.0
24,24,Bayer 04 Leverkusen,Bundesliga,£24.66m,15,£22.10m,12,"-2,85 Mill. £",2000.0
25,25,Newcastle United,Premier League,£23.32m,19,£18.95m,17,"-4,86 Mill. £",2000.0
27,26,Tottenham Hotspur,Premier League,£23.17m,8,£2.21m,12,"-23,29 Mill. £",2000.0
28,27,Juventus FC,Serie A,£21.31m,23,£19.48m,16,"-2,04 Mill. £",2000.0
29,28,Aston Villa,Premier League,£21.06m,16,£18.45m,14,"-2,90 Mill. £",2000.0
30,29,Fenerbahce SK,Süper Lig,£20.49m,21,£14.40m,18,"-6,77 Mill. £",2000.0
31,30,Charlton Athletic,Premier League,£18.72m,15,£479k,16,"-20,27 Mill. £",2000.0
32,31,Manchester City,Premier League,£18.07m,23,£1.32m,25,"-18,61 Mill. £",2000.0
33,32,SSC Napoli,Serie A,£17.16m,31,£1.13m,27,"-17,82 Mill. £",2000.0
34,33,Coventry City,Premier League,£17.10m,14,£23.65m,14,"7,28 Mill. £",2000.0
35,34,Sunderland AFC,Premier League,£17.07m,20,£4.97m,21,"-13,44 Mill. £",2000.0
36,35,ACF Fiorentina,Serie A,£17.06m,13,£36.23m,15,"21,30 Mill. £",2000.0
37,36,SL Benfica,Liga NOS,£16.47m,24,£17.51m,16,"1,15 Mill. £",2000.0
38,37,Villarreal CF,LaLiga,£15.12m,11,-,10,"-16,80 Mill. £",2000.0
39,38,Celta de Vigo,LaLiga,£15.05m,15,£20.70m,10,"6,28 Mill. £",2000.0
40,39,FC Girondins Bordeaux,Ligue 1,£14.45m,14,£22.59m,14,"9,04 Mill. £",2000.0
41,40,Fulham FC,First Division,£14.40m,16,£3.07m,17,"-12,58 Mill. £",2000.0
42,41,Blackburn Rovers,First Division,£13.25m,26,£12.29m,27,"-1,08 Mill. £",2000.0
43,42,PSV Eindhoven,Eredivisie,£12.60m,12,£216k,6,"-13,76 Mill. £",2000.0
44,43,Derby County,Premier League,£11.99m,17,£6.26m,14,"-6,38 Mill. £",2000.0
45,44,Besiktas JK,Süper Lig,£11.93m,21,£518k,15,"-12,68 Mill. £",2000.0
46,45,Olympique Marseille,Ligue 1,£11.57m,23,£27.95m,21,"18,20 Mill. £",2000.0
47,46,Vitesse Arnhem,Eredivisie,£11.49m,18,£6.12m,14,"-5,97 Mill. £",2000.0
48,47,Hellas Verona,Serie A,£10.80m,28,£630k,21,"-11,30 Mill. £",2000.0
49,48,Leicester City,Premier League,£10.58m,18,£8.73m,15,"-2,05 Mill. £",2000.0
50,49,Manchester United,Premier League,£10.53m,9,£8.89m,13,"-1,83 Mill. £",2000.0
51,50,Hamburger SV,Bundesliga,£9.99m,15,£5.11m,13,"-5,43 Mill. £",2000.0
53,51,Real Sociedad,LaLiga,£9.36m,14,-,12,"-10,40 Mill. £",2000.0
54,52,Bayern Munich,Bundesliga,£9.00m,6,£248k,7,"-9,73 Mill. £",2000.0
55,53,West Ham United,Premier League,£8.92m,23,£38.16m,27,"32,48 Mill. £",2000.0
56,54,Crystal Palace,First Division,£8.91m,19,£945k,14,"-8,85 Mill. £",2000.0
57,55,Ipswich Town,Premier League,£8.64m,12,£4.05m,13,"-5,10 Mill. £",2000.0
58,56,Sporting CP,Liga NOS,£8.46m,29,£16.02m,15,"8,40 Mill. £",2000.0
59,57,Bologna FC 1909,Serie A,£7.78m,21,£11.36m,23,"3,99 Mill. £",2000.0
60,58,Olympiacos Piraeus,Super League,£7.39m,13,£7.20m,12,-210 Th. £,2000.0
61,59,RC Strasbourg Alsace,Ligue 1,£7.20m,14,£1.80m,13,"-6,00 Mill. £",2000.0
62,60,RC Lens,Ligue 1,£7.02m,17,£23.40m,19,"18,20 Mill. £",2000.0
63,61,AC Perugia,Serie A,£6.75m,26,£5.40m,28,"-1,50 Mill. £",2000.0
64,62,1.FC Kaiserslautern,Bundesliga,£6.72m,12,£2.07m,8,"-5,17 Mill. £",2000.0
65,63,Wimbledon FC,First Division,£6.30m,22,£23.91m,23,"19,57 Mill. £",2000.0
66,64,West Bromwich Albion,First Division,£6.28m,11,£504k,13,"-6,42 Mill. £",2000.0
67,65,Bradford City,Premier League,£5.94m,15,£7.45m,20,"1,67 Mill. £",2000.0
68,66,SV Werder Bremen,Bundesliga,£5.72m,10,£1.70m,9,"-4,46 Mill. £",2000.0
