,club,league,year
0,Manchester City,Premier League,2016
1,Juventus FC,Serie A,2016
2,Manchester United,Premier League,2016
3,Inter Milan,Serie A,2016
4,Paris Saint-Germain,Ligue 1,2016
5,Chelsea FC,Premier League,2016
6,FC Barcelona,LaLiga,2016
7,Shanghai SIPG,Super League,2016
8,Borussia Dortmund,Bundesliga,2016
9,Arsenal FC,Premier League,2016
10,Crystal Palace,Premier League,2016
11,AS Roma,Serie A,2016
12,SSC Napoli,Serie A,2016
13,Leicester City,Premier League,2016
14,Everton FC,Premier League,2016
15,Aston Villa,Championship,2016
16,Tottenham Hotspur,Premier League,2016
17,West Ham United,Premier League,2016
18,VfL Wolfsburg,Bundesliga,2016
19,Liverpool FC,Premier League,2016
20,Sevilla FC,LaLiga,2016
21,Atlético Madrid,LaLiga,2016
22,RB Leipzig,Bundesliga,2016
23,Hebei China Fortune,Super League,2016
24,Tianjin Quanjian,Super League,2016
25,Bayern Munich,Bundesliga,2016
26,Watford FC,Premier League,2016
27,Southampton FC,Premier League,2016
28,Newcastle United,Championship,2016
29,Swansea City,Premier League,2016
30,Bayer 04 Leverkusen,Bundesliga,2016
31,Villarreal CF,LaLiga,2016
32,AS Monaco,Ligue 1,2016
33,Olympique Marseille,Ligue 1,2016
34,Middlesbrough FC,Premier League,2016
35,Burnley FC,Premier League,2016
36,Hamburger SV,Bundesliga,2016
37,SL Benfica,Liga NOS,2016
38,FC Schalke 04,Bundesliga,2016
39,UC Sampdoria,Serie A,2016
40,Sunderland AFC,Premier League,2016
41,AFC Bournemouth,Premier League,2016
42,FC Porto,Liga NOS,2016
43,Hull City,Premier League,2016
44,Rubin Kazan,Premier Liga,2016
45,Stoke City,Premier League,2016
46,Borussia Mönchengladbach,Bundesliga,2016
47,West Bromwich Albion,Premier League,2016
48,Beijing Sinobo Guoan,Super League,2016
49,Wolverhampton Wanderers,Championship,2016
50,Valencia CF,LaLiga,2016
51,Ajax Amsterdam,Eredivisie,2016
52,Shanghai Greenland Shenhua,Super League,2016
53,Sporting CP,Liga NOS,2016
54,SS Lazio,Serie A,2016
55,Jiangsu Suning,Super League,2016
56,Bologna FC 1909,Serie A,2016
57,Changchun Yatai,Super League,2016
58,Real Madrid,LaLiga,2016
59,1.FSV Mainz 05,Bundesliga,2016
60,RSC Anderlecht,Jupiler Pro League,2016
61,Shandong Luneng Taishan,Super League,2016
62,Torino FC,Serie A,2016
63,Olympique Lyon,Ligue 1,2016
64,AC Milan,Serie A,2016
65,Tianjin Teda,Super League,2016
66,Shenzhen FC,League One,2016
67,Sociedade Esportiva Palmeiras,Série A,2016
68,Norwich City,Championship,2016
69,Deportivo Guadalajara,Liga MX Clausura,2016
70,Genoa CFC,Serie A,2016
71,Fulham FC,Championship,2016
72,Spartak Moscow,Premier Liga,2016
73,TSG 1899 Hoffenheim,Bundesliga,2016
74,Tigres UANL,Liga MX Clausura,2016
75,SV Werder Bremen,Bundesliga,2016
76,Zenit St. Petersburg,Premier Liga,2016
77,Galatasaray SK,Süper Lig,2016
78,FC Augsburg,Bundesliga,2016
79,US Sassuolo,Serie A,2016
80,Real Betis Balompié,LaLiga,2016
81,LOSC Lille,Ligue 1,2016
82,Guangzhou Evergrande Taobao,Super League,2016
83,VfB Stuttgart,2.Bundesliga,2016
84,Udinese Calcio,Serie A,2016
85,RCD Espanyol Barcelona,LaLiga,2016
86,Real Sociedad,LaLiga,2016
87,São Paulo Futebol Clube,Série A,2016
88,CF América,Liga MX Clausura,2016
89,CD Cruz Azul,Liga MX Clausura,2016
90,Derby County,Championship,2016
91,KAA Gent,Jupiler Pro League,2016
92,Atlanta United FC,MLS,2016
93,Sport Club Internacional,Série B,2016
94,Henan Jianye,Super League,2016
95,Club Atlético River Plate,Primera División,2016
96,ACF Fiorentina,Serie A,2016
97,Trabzonspor,Süper Lig,2016
98,OGC Nice,Ligue 1,2016
99,Besiktas JK,Süper Lig,2016
100,FC Basel 1893,Super League,2016
101,Club Atlético Boca Juniors,Primera División,2016
102,Delfino Pescara 1936,Serie A,2016
103,KRC Genk,Jupiler Pro League,2016
104,Olympiacos Piraeus,Super League,2016
105,FC Toulouse,Ligue 1,2016
106,Queens Park Rangers,Championship,2016
107,Standard Liège,Jupiler Pro League,2016
108,Bristol City,Championship,2016
109,Málaga CF,LaLiga,2016
110,Liaoning FC,Super League,2016
111,Club Brugge KV,Jupiler Pro League,2016
112,FK Krasnodar,Premier Liga,2016
113,Clube de Regatas do Flamengo,Série A,2016
114,Granada CF,LaLiga,2016
115,SC Freiburg,Bundesliga,2016
116,Atalanta BC,Serie A,2016
117,Chievo Verona,Serie A,2016
118,Wuhan Zall,League One,2016
119,Sheffield Wednesday,Championship,2016
120,Birmingham City,Championship,2016
121,Guizhou Hengfeng,Super League,2016
122,Real Madrid Castilla,2ª B - Grupo II,2016
123,Istanbul Basaksehir,Süper Lig,2016
124,Cagliari Calcio,Serie A,2016
125,Red Bull Salzburg,Bundesliga,2016
126,Celtic FC,Premiership,2016
127,TSV 1860 Munich,2.Bundesliga,2016
128,Santos FC,Série A,2016
129,Guangzhou R&F,Super League,2016
