,#,PlayerName,Position,Age,Market Value,Departed from,Departed league,Joined,Country,Transfer Fee
0,1,Lucas Hernández,Centre-Back,23,£63.00m,Atlético Madrid,LaLiga,Bayern Munich,Germany,£72.00m
1,2,Frenkie de Jong,Central Midfield,22,£67.50m,Ajax,Netherlands,FC Barcelona,LaLiga,£67.50m
2,3,Luka Jovic,Centre-Forward,21,£49.50m,Benfica,Portugal,E. Frankfurt,Germany,£6.30m
3,4,Éder Militão,Centre-Back,21,£45.00m,FC Porto,Portugal,Real Madrid,LaLiga,£45.00m
4,5,Rodrygo,Left Winger,18,£36.00m,Santos FC,Série A,Real Madrid,LaLiga,£40.50m
5,6,Paco Alcácer,Centre-Forward,25,£36.00m,FC Barcelona,LaLiga,Bor. Dortmund,Germany,£18.90m
6,7,Aaron Ramsey,Central Midfield,28,£36.00m,Arsenal,England,Juventus,Italy,Free Transfer
7,8,Giovani Lo Celso,Central Midfield,23,£36.00m,Paris SG,Ligue 1,Real Betis,LaLiga,£19.80m
8,9,Raúl Jiménez,Centre-Forward,28,£22.50m,Benfica,Portugal,Wolves,England,£34.20m
9,10,Franck Kessié,Central Midfield,22,£31.50m,Atalanta,Italy,AC Milan,Italy,£21.60m
10,11,Benjamin Pavard,Centre-Back,23,£31.50m,VfB Stuttgart,Germany,Bayern Munich,Germany,£31.50m
11,12,Kerem Demirbay,Central Midfield,25,£22.50m,TSG Hoffenheim,Germany,Bay. Leverkusen,Germany,£28.80m
12,13,Bryan Cristante,Central Midfield,24,£22.50m,Atalanta,Italy,AS Roma,Italy,£18.90m
13,14,Danny Ings,Centre-Forward,26,£10.80m,Liverpool,England,Southampton,England,£19.98m
14,15,Alex Meret,Goalkeeper,22,£18.00m,Udinese Calcio,Italy,SSC Napoli,Italy,£19.80m
15,16,Emil Audero,Goalkeeper,22,£13.50m,Juventus,Italy,Sampdoria,Italy,£18.00m
16,17,Grzegorz Krychowiak,Defensive Midfield,29,£16.20m,Paris SG,Ligue 1,Loko Moscow,Russia,£11.25m
17,18,Stefano Sturaro,Central Midfield,26,£9.00m,Juventus,Italy,Genoa,Italy,£14.85m
18,19,Aarón Martín,Left-Back,22,£14.40m,Espanyol,LaLiga,1.FSV Mainz 05,Germany,£5.40m
19,20,Jakub Jankto,Central Midfield,23,£13.50m,Udinese Calcio,Italy,Sampdoria,Italy,£13.50m
20,21,Leander Dendoncker,Defensive Midfield,24,£13.50m,RSC Anderlecht,Belgium,Wolves,England,£12.15m
21,22,Munas Dabbur,Centre-Forward,27,£13.50m,RB Salzburg,Austria,Sevilla FC,LaLiga,£13.50m
22,23,Niclas Füllkrug,Centre-Forward,26,£13.50m,Hannover 96,Germany,Werder Bremen,Germany,£5.85m
23,24,Filip Kostic,Left Midfield,26,£13.50m,Hamburger SV,Germany,E. Frankfurt,Germany,£5.40m
24,25,Lloyd Kelly,Left-Back,20,£1.80m,Bristol City,England,Bournemouth,England,£13.32m
25,26,Simone Zaza,Centre-Forward,27,£11.70m,Valencia,LaLiga,Torino,Italy,£10.80m
26,27,Adem Ljajic,Attacking Midfield,27,£11.70m,Torino,Italy,Besiktas,Turkey,£5.85m
27,28,Razvan Marin,Central Midfield,22,£8.10m,Standard Liège,Belgium,Ajax,Netherlands,£11.25m
28,29,Ionut Radu,Goalkeeper,21,£10.80m,Inter,Italy,Genoa,Italy,£7.20m
29,30,Manuel Locatelli,Central Midfield,21,£10.80m,AC Milan,Italy,Sassuolo,Italy,£9.00m
30,31,Hannes Wolf,Attacking Midfield,20,£9.00m,RB Salzburg,Austria,RB Leipzig,Germany,£10.80m
31,32,Emerson,Right-Back,20,£5.40m,Atlético-MG,Série A,FC Barcelona,LaLiga,£10.80m
32,33,Andrea Petagna,Centre-Forward,23,£9.00m,Atalanta,Italy,SPAL,Italy,£10.80m
33,34,Ihlas Bebou,Right Winger,25,£10.80m,Hannover 96,Germany,TSG Hoffenheim,Germany,£9.00m
34,35,Maximilian Wöber,Centre-Back,21,£9.00m,Ajax,Netherlands,Sevilla FC,LaLiga,£9.45m
35,36,Kevin Mbabu,Right-Back,24,£9.00m,BSC Young Boys,Switzerland,VfL Wolfsburg,Germany,£8.28m
36,37,Alberto Cerri,Centre-Forward,23,£5.85m,Juventus,Italy,Cagliari Calcio,Italy,£8.10m
37,38,Pedro Neto,Right Winger,19,£2.25m,Braga,Portugal,Lazio,Italy,£7.65m
38,39,Luca Mazzitelli,Central Midfield,23,£3.60m,Sassuolo,Italy,Genoa,Italy,£7.20m
39,40,Luan Cândido,Left-Back,18,-,Palmeiras B,Brazil,RB Leipzig,Germany,£7.20m
40,41,Zack Steffen,Goalkeeper,24,£4.50m,Columbus Crew,MLS,Man City,England,£7.20m
41,42,Loum N'Diaye,Defensive Midfield,22,£4.50m,Braga,Portugal,FC Porto,Portugal,£6.75m
42,43,Luciano Vietto,Centre-Forward,25,£5.40m,Atlético Madrid,LaLiga,Sporting CP,Portugal,£6.75m
43,44,Merih Demiral,Centre-Back,21,£4.50m,Alanyaspor,Turkey,Sassuolo,Italy,£6.30m
44,45,Landry Dimata,Centre-Forward,21,£6.30m,VfL Wolfsburg,Germany,RSC Anderlecht,Belgium,£4.50m
45,46,Andrea Favilli,Centre-Forward,22,£5.40m,Juventus,Italy,Genoa,Italy,£6.30m
46,47,Lisandro Martínez,Centre-Back,21,£5.40m,Defensa,Primera División,Ajax,Netherlands,£6.30m
47,48,Rodrigo Becão,Centre-Back,23,£5.85m,EC Bahia,Série A,CSKA Moscow,Russia,£900k
48,49,Lukas Lerager,Central Midfield,25,£5.40m,G. Bordeaux,Ligue 1,Genoa,Italy,£5.40m
49,50,Victorien Angban,Central Midfield,22,£1.13m,Chelsea U23,England,FC Metz,Ligue 1,£5.40m
50,51,Manu Vallejo,Left Winger,22,£4.50m,Cádiz CF,Spain,Valencia,LaLiga,£4.95m
51,52,Marco Varnier,Centre-Back,20,£2.25m,Cittadella,Italy,Atalanta,Italy,£4.50m
52,53,Christian Oliva,Defensive Midfield,22,£4.50m,Nacional,Primera División,Cagliari Calcio,Italy,£4.50m
53,54,Cristian Ansaldi,Left-Back,32,£4.50m,Inter,Italy,Torino,Italy,£2.25m
54,55,Kik Pierie,Centre-Back,18,£2.70m,Heerenveen,Netherlands,Ajax,Netherlands,£4.50m
55,56,Marvin Spielmann,Left Midfield,23,£4.50m,FC Thun,Switzerland,BSC Young Boys,Switzerland,?
56,57,Peru Nolaskoain,Centre-Back,20,£4.50m,Bilbao Athletic,2ª B - Grupo II,Athletic,LaLiga,-
57,58,Bruno Jordão,Central Midfield,20,£900k,Braga,Portugal,Lazio,Italy,£4.05m
58,59,Alex Ferrari,Centre-Back,24,£1.35m,Bologna,Italy,Sampdoria,Italy,£4.05m
59,60,Modibo Sagnan,Centre-Back,20,£540k,Lens,France,Real Sociedad,LaLiga,£4.05m
60,61,Ángelo Araos,Attacking Midfield,22,£3.60m,U. de Chile,Primera División,Corinthians,Série A,£3.96m
61,62,Luca Zanimacchia,Right Winger,20,£270k,Genoa,Italy,Juventus U23,Italy,£3.60m
62,63,Jann-Fiete Arp,Centre-Forward,19,£3.60m,Hamburger SV,Germany,Bayern Munich,Germany,£2.70m
63,64,Tae-heui Nam,Attacking Midfield,27,£3.60m,Al Duhail,Qatar,Al Sadd,Qatar,?
64,65,Mexer,Centre-Back,30,£3.60m,Stade Rennais,Ligue 1,G. Bordeaux,Ligue 1,Free Transfer
65,66,Manuel Pucciarelli,Second Striker,27,£2.07m,FC Empoli,Italy,Chievo Verona,Italy,£3.38m
66,67,Mimoun Mahi,Left Winger,25,£3.15m,FC Groningen,Netherlands,FC Zürich,Switzerland,Free Transfer
67,68,Brandley Kuwas,Right Winger,26,£3.15m,Heracles Almelo,Netherlands,Al-Nasr,UAE Gulf League,£2.25m
68,69,Danilo Moreno Asprilla,Right Winger,30,£3.06m,Al-Ain FC,UAE Gulf League,Shabab,Saudi Arabia,?
69,70,Kingsley Schindler,Right Winger,25,£2.70m,Holstein Kiel,Germany,1. FC Köln,Germany,Free Transfer
70,71,Luís Neto,Centre-Back,30,£2.70m,Zenit S-Pb,Russia,Sporting CP,Portugal,Free Transfer
71,72,Christian Rasmussen,Right Winger,16,-,FCN Youth,Denmark,Ajax U17,Netherlands,£2.70m
72,73,David Kinsombi,Defensive Midfield,23,£2.70m,Holstein Kiel,Germany,Hamburger SV,Germany,£2.70m
