,Rank,Team,League,Expenditures,Arrivals,Incomes,Departures,Net Balance,Year
0,1,Juventus FC,Serie A,£235.35m,69,£98.10m,48,"-152,50 Mill. £",2018
1,2,Paris Saint-Germain,Ligue 1,£195.30m,25,£101.70m,18,"-104,00 Mill. £",2018
2,3,Chelsea FC,Premier League,£189.00m,38,£55.58m,30,"-148,25 Mill. £",2018
3,4,AC Milan,Serie A,£166.95m,35,£78.57m,29,"-98,20 Mill. £",2018
4,5,Liverpool FC,Premier League,£163.98m,13,£34.65m,15,"-143,70 Mill. £",2018
5,6,Real Madrid,LaLiga,£146.48m,23,£120.15m,13,"-29,25 Mill. £",2018
6,7,AS Monaco,Ligue 1,£124.38m,49,£286.88m,33,"180,55 Mill. £",2018
7,8,Atlético Madrid,LaLiga,£119.70m,25,£58.41m,17,"-68,10 Mill. £",2018
8,9,AS Roma,Serie A,£117.99m,65,£134.43m,45,"18,27 Mill. £",2018
9,10,FC Barcelona,LaLiga,£116.19m,20,£120.65m,17,"4,95 Mill. £",2018
10,11,Valencia CF,LaLiga,£114.30m,26,£52.92m,21,"-68,20 Mill. £",2018
11,12,Leicester City,Premier League,£103.14m,21,£86.22m,19,"-18,80 Mill. £",2018
12,13,Wolverhampton Wanderers,Premier League,£101.03m,42,£20.75m,47,"-89,20 Mill. £",2018
13,14,Fulham FC,Premier League,£100.80m,21,£4.05m,16,"-107,50 Mill. £",2018
14,15,West Ham United,Premier League,£94.82m,21,£12.60m,15,"-91,35 Mill. £",2018
15,16,Everton FC,Premier League,£89.82m,27,£25.56m,25,"-71,40 Mill. £",2018
16,17,Villarreal CF,LaLiga,£83.61m,34,£52.65m,24,"-34,40 Mill. £",2018
17,18,Guangzhou Evergrande Taobao,Super League,£82.67m,24,£6.05m,23,"-85,14 Mill. £",2018
18,19,Borussia Dortmund,Bundesliga,£81.45m,21,£102.51m,19,"23,40 Mill. £",2018
19,20,AFC Bournemouth,Premier League,£80.19m,17,£18.18m,17,"-68,90 Mill. £",2018
20,21,Inter Milan,Serie A,£78.84m,75,£79.47m,59,700 Th. £,2018
21,22,Brighton & Hove Albion,Premier League,£77.63m,30,£12.06m,26,"-72,86 Mill. £",2018
22,23,Manchester United,Premier League,£74.43m,10,£31.82m,10,"-47,35 Mill. £",2018
23,24,Arsenal FC,Premier League,£73.35m,17,£5.76m,13,"-75,10 Mill. £",2018
24,25,Sevilla FC,LaLiga,£71.33m,20,£81.86m,23,"11,70 Mill. £",2018
26,26,Manchester City,Premier League,£69.38m,27,£48.69m,21,"-22,99 Mill. £",2018
27,27,SSC Napoli,Serie A,£63.90m,58,£100.80m,39,"41,00 Mill. £",2018
28,28,Olympique Marseille,Ligue 1,£59.40m,15,£28.67m,11,"-34,15 Mill. £",2018
29,29,RB Leipzig,Bundesliga,£59.07m,19,£65.48m,18,"7,12 Mill. £",2018
30,30,Stoke City,Championship,£56.61m,24,£27.14m,23,"-32,75 Mill. £",2018
31,31,Southampton FC,Premier League,£56.03m,21,£21.51m,19,"-38,35 Mill. £",2018
32,32,FC Schalke 04,Bundesliga,£55.53m,20,£41.09m,16,"-16,05 Mill. £",2018
33,33,Newcastle United,Premier League,£53.78m,22,£39.13m,23,"-16,27 Mill. £",2018
34,34,ACF Fiorentina,Serie A,£50.22m,61,£41.81m,47,"-9,35 Mill. £",2018
35,35,Genoa CFC,Serie A,£49.18m,102,£67.86m,79,"20,76 Mill. £",2018
36,36,UC Sampdoria,Serie A,£47.57m,74,£52.26m,49,"5,22 Mill. £",2018
37,37,Pyramids FC,Premier League,£47.00m,35,£9.92m,35,"-41,20 Mill. £",2018
38,38,Cardiff City,Premier League,£46.08m,17,-,18,"-51,20 Mill. £",2018
39,39,Huddersfield Town,Premier League,£45.63m,17,£11.10m,19,"-38,37 Mill. £",2018
40,40,Ajax Amsterdam,Eredivisie,£45.59m,14,£15.80m,14,"-33,10 Mill. £",2018
41,41,Atalanta BC,Serie A,£45.27m,132,£16.11m,81,"-32,40 Mill. £",2018
42,42,Al-Ittihad Jeddah,Professional League,£45.09m,28,-,27,"-50,10 Mill. £",2018
43,43,Al Duhail Sports Club,Stars League,£44.10m,14,-,20,"-49,00 Mill. £",2018
