,Rank,Team,Games,Win,Draw,Loss,Goals,Goal Difference,Points,Year
1,1,Man City,38,28,5,5,93:29,64,89,2011.0
2,2,Man Utd,38,28,5,5,89:33,56,89,2011.0
3,3,Arsenal,38,21,7,10,74:49,25,70,2011.0
4,4,Spurs,38,20,9,9,66:41,25,69,2011.0
5,5,Newcastle,38,19,8,11,56:51,5,65,2011.0
6,6,Chelsea,38,18,10,10,65:46,19,64,2011.0
7,7,Everton,38,15,11,12,50:40,10,56,2011.0
8,8,Liverpool,38,14,10,14,47:40,7,52,2011.0
9,9,Fulham,38,14,10,14,48:51,-3,52,2011.0
10,10,West Brom,38,13,8,17,45:52,-7,47,2011.0
11,11,Swansea,38,12,11,15,44:51,-7,47,2011.0
12,12,Norwich,38,12,11,15,52:66,-14,47,2011.0
13,13,Sunderland,38,11,12,15,45:46,-1,45,2011.0
14,14,Stoke City,38,11,12,15,36:53,-17,45,2011.0
15,15,Wigan,38,11,10,17,42:62,-20,43,2011.0
16,16,Aston Villa,38,7,17,14,37:53,-16,38,2011.0
17,17,QPR,38,10,7,21,43:66,-23,37,2011.0
18,18,Bolton,38,10,6,22,46:77,-31,36,2011.0
19,19,Blackburn,38,8,7,23,48:78,-30,31,2011.0
20,20,Wolves,38,5,10,23,40:82,-42,25,2011.0
22,1,Man Utd,38,28,5,5,86:43,43,89,2012.0
23,2,Man City,38,23,9,6,66:34,32,78,2012.0
24,3,Chelsea,38,22,9,7,75:39,36,75,2012.0
25,4,Arsenal,38,21,10,7,72:37,35,73,2012.0
26,5,Spurs,38,21,9,8,66:46,20,72,2012.0
27,6,Everton,38,16,15,7,55:40,15,63,2012.0
28,7,Liverpool,38,16,13,9,71:43,28,61,2012.0
29,8,West Brom,38,14,7,17,53:57,-4,49,2012.0
30,9,Swansea,38,11,13,14,47:51,-4,46,2012.0
31,10,West Ham,38,12,10,16,45:53,-8,46,2012.0
32,11,Norwich,38,10,14,14,41:58,-17,44,2012.0
33,12,Fulham,38,11,10,17,50:60,-10,43,2012.0
34,13,Stoke City,38,9,15,14,34:45,-11,42,2012.0
35,14,Southampton,38,9,14,15,49:60,-11,41,2012.0
36,15,Aston Villa,38,10,11,17,47:69,-22,41,2012.0
37,16,Newcastle,38,11,8,19,45:68,-23,41,2012.0
38,17,Sunderland,38,9,12,17,41:54,-13,39,2012.0
39,18,Wigan,38,9,9,20,47:73,-26,36,2012.0
40,19,Reading,38,6,10,22,43:73,-30,28,2012.0
