,club,year,amount
0,Manchester City,2016,-192.15
1,Juventus FC,2016,-176.24
2,Manchester United,2016,-166.5
3,Inter Milan,2016,-142.14
4,Paris Saint-Germain,2016,-121.05
5,Chelsea FC,2016,-119.52
6,FC Barcelona,2016,-112.28
7,Shanghai SIPG,2016,-110.79
8,Borussia Dortmund,2016,-108.99
9,Arsenal FC,2016,-101.7
10,Crystal Palace,2016,-91.17
11,AS Roma,2016,-90.68
12,SSC Napoli,2016,-87.38
13,Leicester City,2016,-82.44
14,Everton FC,2016,-77.31
15,Aston Villa,2016,-77.04
16,Tottenham Hotspur,2016,-75.24
17,West Ham United,2016,-75.15
18,VfL Wolfsburg,2016,-72.95
19,Liverpool FC,2016,-71.91
20,Sevilla FC,2016,-71.91
21,Atlético Madrid,2016,-71.1
22,RB Leipzig,2016,-70.61
23,Hebei China Fortune,2016,-69.92
24,Tianjin Quanjian,2016,-67.49
25,Bayern Munich,2016,-63.0
26,Watford FC,2016,-62.96
27,Southampton FC,2016,-62.01
28,Newcastle United,2016,-57.38
29,Swansea City,2016,-52.38
30,Bayer 04 Leverkusen,2016,-51.39
31,Villarreal CF,2016,-50.36
32,AS Monaco,2016,-45.45
33,Olympique Marseille,2016,-45.0
34,Middlesbrough FC,2016,-43.16
35,Burnley FC,2016,-41.04
36,Hamburger SV,2016,-39.56
37,SL Benfica,2016,-39.39
38,FC Schalke 04,2016,-38.97
39,UC Sampdoria,2016,-38.7
40,Sunderland AFC,2016,-37.71
41,AFC Bournemouth,2016,-36.62
42,FC Porto,2016,-36.39
43,Hull City,2016,-36.0
44,Rubin Kazan,2016,-35.69
45,Stoke City,2016,-34.69
46,Borussia Mönchengladbach,2016,-34.43
47,West Bromwich Albion,2016,-34.11
48,Beijing Sinobo Guoan,2016,-33.19
49,Wolverhampton Wanderers,2016,-32.49
50,Valencia CF,2016,-32.4
51,Ajax Amsterdam,2016,-31.95
52,Shanghai Greenland Shenhua,2016,-31.86
53,Sporting CP,2016,-31.32
54,SS Lazio,2016,-29.57
55,Jiangsu Suning,2016,-29.0
56,Bologna FC 1909,2016,-28.44
57,Changchun Yatai,2016,-28.17
58,Real Madrid,2016,-27.0
59,1.FSV Mainz 05,2016,-26.28
60,RSC Anderlecht,2016,-26.19
61,Shandong Luneng Taishan,2016,-26.09
62,Torino FC,2016,-25.92
63,Olympique Lyon,2016,-25.74
64,AC Milan,2016,-25.2
65,Tianjin Teda,2016,-25.0
66,Shenzhen FC,2016,-24.51
67,Sociedade Esportiva Palmeiras,2016,-24.3
68,Norwich City,2016,-23.81
69,Deportivo Guadalajara,2016,-23.49
70,Genoa CFC,2016,-23.4
71,Fulham FC,2016,-23.0
72,Spartak Moscow,2016,-22.82
73,TSG 1899 Hoffenheim,2016,-21.99
74,Tigres UANL,2016,-21.47
75,SV Werder Bremen,2016,-21.33
76,Zenit St. Petersburg,2016,-20.61
77,Galatasaray SK,2016,-20.25
78,FC Augsburg,2016,-19.98
79,US Sassuolo,2016,-19.62
80,Real Betis Balompié,2016,-18.81
81,LOSC Lille,2016,-18.63
82,Guangzhou Evergrande Taobao,2016,-18.05
83,VfB Stuttgart,2016,-17.69
84,Udinese Calcio,2016,-17.1
85,RCD Espanyol Barcelona,2016,-16.56
86,Real Sociedad,2016,-16.2
87,São Paulo Futebol Clube,2016,-16.17
88,CF América,2016,-15.77
89,CD Cruz Azul,2016,-15.75
90,Derby County,2016,-15.54
91,KAA Gent,2016,-15.38
92,Atlanta United FC,2016,-15.04
93,Sport Club Internacional,2016,-14.48
94,Henan Jianye,2016,-14.32
95,Club Atlético River Plate,2016,-14.2
96,ACF Fiorentina,2016,-14.07
97,Trabzonspor,2016,-14.0
98,OGC Nice,2016,-13.73
99,Besiktas JK,2016,-13.59
100,FC Basel 1893,2016,-13.55
101,Club Atlético Boca Juniors,2016,-13.28
102,Delfino Pescara 1936,2016,-12.86
103,KRC Genk,2016,-12.6
104,Olympiacos Piraeus,2016,-12.02
105,FC Toulouse,2016,-11.7
106,Queens Park Rangers,2016,-11.58
107,Standard Liège,2016,-11.36
108,Bristol City,2016,-11.34
109,Málaga CF,2016,-11.28
110,Liaoning FC,2016,-10.8
111,Club Brugge KV,2016,-10.8
112,FK Krasnodar,2016,-10.8
113,Clube de Regatas do Flamengo,2016,-10.76
114,Granada CF,2016,-10.42
115,SC Freiburg,2016,-10.35
116,Atalanta BC,2016,-10.21
117,Chievo Verona,2016,-9.92
118,Wuhan Zall,2016,-9.88
119,Sheffield Wednesday,2016,-9.81
120,Birmingham City,2016,-9.08
121,Guizhou Hengfeng,2016,-9.01
122,Real Madrid Castilla,2016,-9.0
123,Istanbul Basaksehir,2016,-8.92
124,Cagliari Calcio,2016,-8.57
125,Red Bull Salzburg,2016,-8.51
126,Celtic FC,2016,-8.46
127,TSV 1860 Munich,2016,-8.42
128,Santos FC,2016,-8.37
129,Guangzhou R&F,2016,-8.31
130,FC Girondins Bordeaux,2016,-8.1
131,Reading FC,2016,-8.04
132,FC Copenhagen,2016,-7.92
133,Brighton & Hove Albion,2016,-7.88
134,FC Lorient,2016,-7.74
135,SD Eibar,2016,-7.74
136,Leeds United,2016,-7.72
137,US Palermo,2016,-7.63
138,Celta de Vigo,2016,-7.56
139,1. FC Köln,2016,-7.52
140,Fluminense Football Club,2016,-7.29
141,FC Ingolstadt 04,2016,-7.16
142,Cerezo Osaka,2016,-6.6
143,Cruzeiro Esporte Clube,2016,-6.51
144,Fenerbahce SK,2016,-6.39
145,FC Empoli,2016,-6.3
146,AS Saint-Étienne,2016,-6.3
147,Maccabi Tel Aviv,2016,-6.23
148,Club Deportivo Maldonado,2016,-6.08
149,Club Atlético Rosario Central,2016,-6.07
150,Hertha BSC,2016,-6.03
151,Al-Hilal Riyadh,2016,-6.03
152,Steaua Bukarest,2016,-6.02
153,El Ahly Cairo,2016,-5.99
154,Lokomotiv Moscow,2016,-5.9
155,PAOK Thessaloniki,2016,-5.9
156,CF Monterrey,2016,-5.85
157,Terek Grozny,2016,-5.85
158,Club Atlético Independiente,2016,-5.79
159,HSC Montpellier,2016,-5.76
160,Racing Club,2016,-5.72
161,Deportivo Alavés,2016,-5.69
162,Deportivo de La Coruña,2016,-5.67
163,Santos Laguna,2016,-5.6
164,Rapid Vienna,2016,-5.58
165,Hellas Verona,2016,-5.45
166,KV Oostende,2016,-5.4
167,Shijiazhuang Ever Bright,2016,-5.36
168,Chongqing Dangdai Lifan,2016,-5.36
169,AC Sparta Praha,2016,-5.36
170,FC Crotone,2016,-5.31
171,Club Tijuana,2016,-5.26
172,FC Porto B,2016,-5.25
173,Al-Ittihad Jeddah,2016,-5.18
174,GNK Dinamo Zagreb,2016,-4.91
175,Seattle Sounders FC,2016,-4.91
176,PSV Eindhoven,2016,-4.73
177,SCO Angers,2016,-4.68
178,Brentford FC,2016,-4.64
179,Clube Atlético Mineiro,2016,-4.52
180,FC Nantes,2016,-4.5
181,Sport Club Corinthians Paulista,2016,-4.32
182,Beijing Renhe,2016,-4.29
183,SC Braga,2016,-4.24
184,Portland Timbers,2016,-4.19
185,Al-Ahli Jeddah,2016,-4.05
186,Nottingham Forest,2016,-4.01
187,Al-Shabab Al-Arabi Club,2016,-4.01
188,Los Angeles Galaxy,2016,-4.01
189,SK Slavia Prag,2016,-4.01
190,Huddersfield Town,2016,-4.01
191,AZ Alkmaar,2016,-3.92
192,Legia Warszawa,2016,-3.89
193,Maccabi Haifa,2016,-3.87
194,Cardiff City,2016,-3.87
195,SM Caen,2016,-3.83
196,FC Pro Vercelli 1892,2016,-3.74
197,Club Atlético Talleres,2016,-3.72
198,SV Darmstadt 98,2016,-3.69
199,Sevilla Atlético,2016,-3.69
200,Club Atlético San Lorenzo de Almagro,2016,-3.65
