0,Premier League
1,Serie A
2,Ligue 1
3,LaLiga
4,Super League
5,Bundesliga
6,Championship
7,Liga NOS
8,Premier Liga
9,Eredivisie
10,Jupiler Pro League
11,League One
12,Série A
13,Liga MX Clausura
14,Süper Lig
15,2.Bundesliga
16,MLS
17,Série B
18,Primera División
19,2ª B - Grupo II
20,Premiership
21,Superligaen
22,Rel. Ligue 1
23,J1 League
24,Ligat ha'Al
25,Segunda División
26,King's Cup
27,Liga 1 - Championship group
28,Serie B
29,Fortuna Liga
30,Ledman Liga Pro
31,1.HNL
32,UAE Gulf League
33,Ekstraklasa
34,LaLiga2
35,Torneo Transición
36,Premier League 2
37,Primavera B
38,PL2 Playoffs
39,Monaco
40,Liga Águila II
41,Primavera 1
42,Professional League
43,Primavera 2a
44,Superligaen Championship round
45,Liga 1
46,Italy
47,U19 Eredivisie
48,SuperLiga
49,Allsvenskan
50,Ligue 2
51,Eliteserien
52,U18 Premier League
53,Thai League
54,Keuken Kampioen Divisie
55,NordicBet LIGA
56,A Grupa - Championship gr.
57,Spain
58,Fort. Liga - Champ. G.
59,Stars League
60,China
61,2ª B - Grupo III
62,Serie C - A
63,Parva Liga
64,NB I.
